IDStation,NameStation,Altitude,Province,City,geometry,ARPA_zone,AGAPU_area,ISTAT_prov,ISTAT_mun,Type,Longitude,Latitude
583,Bergamo - via Meucci,249,BG,Bergamo,"c(9.64365057946138, 45.6910374054721)",Agg_BG,Aree urbane (significative),16,16024,UB,9.643650579461385,45.69103740547214
604,Tavazzano,85,LO,Tavazzano con Villavesco,"c(9.41464472662726, 45.3303610018123)",A,Aree rurali in contesti urbani,98,98056,SB,9.414644726627262,45.33036100181227
685,Calusco d' Adda,273,BG,Calusco d'Adda,"c(9.48426092764779, 45.6904290785451)",A,Aree urbane (significative),16,16046,SB,9.484260927647789,45.69042907854514
1269,Dalmine - via Verdi,207,BG,Dalmine,"c(9.60122333878526, 45.6497025123625)",Agg_BG,Aree urbane (significative),16,16091,UT,9.601223338785262,45.64970251236247
584,Bergamo - via Garibaldi,249,BG,Bergamo,"c(9.66124914606551, 45.6956803443269)",Agg_BG,Aree urbane (significative),16,16024,UT,9.66124914606551,45.69568034432694
558,Busto Arsizio - Accam,206,VA,Busto Arsizio,"c(8.84216545670608, 45.5828942927177)",Agg_MI,Aree urbane (significative),12,12026,SB,8.842165456706075,45.582894292717725
626,Corte de Cortesi,57,CR,Corte de' Cortesi con Cignone,"c(10.0062023912043, 45.2784875547884)",B,Aree rurali,19,19032,RB,10.006202391204335,45.27848755478839
1265,Lodi - S. Alberto,76,LO,Lodi,"c(9.49527369692632, 45.3027835030958)",A,Aree urbane in contesti rurali,98,98031,UB,9.495273696926324,45.302783503095775
655,Darfo (aria),221,BS,Darfo Boario Terme,"c(10.1773568089814, 45.8746021098904)",D,Aree rurali (significative),17,17065,SB,10.17735680898138,45.87460210989037
528,Milano - Verziere,116,MI,Milano,"c(9.19532480766886, 45.4633467406665)",Agg_MI,Aree urbane (significative),15,15146,UT,9.195324807668857,45.463346740666545
569,Sondrio - via Mazzini,307,SO,Sondrio,"c(9.87014407497457, 46.1679668122783)",D,Aree urbane in contesti rurali (significative),14,14061,UT,9.87014407497457,46.16796681227828
683,Cassano d'Adda 2 - Via Milano,133,MI,Cassano d'Adda,"c(9.5159804836271, 45.526472545851)",A,Aree urbane,15,15059,UT,9.515980483627096,45.52647254585104
633,Soresina,70,CR,Soresina,"c(9.86339841999363, 45.2839771544676)",B,Aree rurali (significative),19,19098,ST,9.863398419993635,45.28397715446764
677,Cremona - Via Fatebenefratelli,43,CR,Cremona,"c(10.0438361583694, 45.1425406322169)",A,Aree urbane in contesti rurali (significative),19,19036,UB,10.043836158369393,45.14254063221695
705,Milano - Pascal Città Studi,122,MI,Milano,"c(9.2354910384975, 45.4789960616874)",Agg_MI,Aree urbane (significative),15,15146,UB,9.235491038497502,45.47899606168744
600,Lodi - viale Vignati,80,LO,Lodi,"c(9.48526286320174, 45.3060129875238)",A,Aree urbane in contesti rurali,98,98031,UT,9.48526286320174,45.30601298752377
552,Varese - Vidoletti,425,VA,Varese,"c(8.80392612667495, 45.8369007765555)",A,Aree urbane (significative),12,12133,UB,8.80392612667495,45.83690077655548
554,Saronno - via Santuario,212,VA,Saronno,"c(9.04006309067821, 45.626218960836)",Agg_MI,Aree urbane (significative),12,12119,UB,9.04006309067821,45.626218960836006
542,Meda,222,MB,Meda,"c(9.1566439845516, 45.6617621918917)",Agg_MI,Aree urbane (significative),108,108030,UT,9.156643984551597,45.66176219189168
706,Lecco - Via Sora,272,LC,Lecco,"c(9.39995034468185, 45.8637488412797)",A,Aree urbane in contesti rurali,97,97042,UB,9.399950344681852,45.86374884127965
544,Cormano,153,MI,Cormano,"c(9.16261365315132, 45.5510419443724)",Agg_MI,Aree urbane (significative),15,15086,UB,9.162613653151322,45.551041944372415
1297,Spinadesco,48,CR,Spinadesco,"c(9.93059647227233, 45.1504688698568)",A,Aree rurali,19,19100,RI,9.930596472272326,45.150468869856816
571,Bormio,1225,SO,Bormio,"c(10.375432759159, 46.4695239713258)",C,Aree rurali (significative),14,14009,UB,10.375432759159036,46.46952397132585
693,Sannazzaro de' Burgondi - AGIP,85,PV,Sannazzaro de' Burgondi,"c(8.90417452771467, 45.1027662768414)",B,Aree rurali (significative),18,18138,UI,8.90417452771467,45.10276627684137
672,Cornale (Voghera Energia),74,PV,Cornale,"c(8.91414459900241, 45.0400765720296)",B,Aree rurali,18,18055,RB,8.914144599002409,45.04007657202963
539,Milano - viale Liguria,115,MI,Milano,"c(9.16794450174268, 45.4438576535649)",Agg_MI,Aree urbane (significative),15,15146,UT,9.167944501742676,45.443857653564926
669,Brescia - Villaggio Sereno,70,BS,Brescia,"c(10.1919418887793, 45.5130388186538)",Agg_BS,Aree urbane (significative),17,17029,UB,10.19194188877931,45.513038818653754
608,Codogno - via Trento,59,LO,Codogno,"c(9.69814824935254, 45.1593728023411)",B,Aree urbane in contesti rurali,98,98019,UT,9.69814824935254,45.15937280234111
1374,Monza Parco,181,MB,Monza,"c(9.27507265782848, 45.6012321995514)",Agg_MI,Aree urbane (significative),108,108033,SB,9.27507265782848,45.60123219955139
592,Treviglio,191,BG,Treviglio,"c(9.59200999488842, 45.5193349813872)",Agg_BG,Aree urbane,16,16219,UT,9.592009994888425,45.51933498138716
517,Turbigo,141,MI,Turbigo,"c(8.73649657837922, 45.5265508699425)",A,Aree urbane,15,15226,UB,8.736496578379215,45.52655086994247
501,Milano - viale Marche,129,MI,Milano,"c(9.19093355531362, 45.496316443651)",Agg_MI,Aree urbane (significative),15,15146,UT,9.190933555313624,45.49631644365102
657,Lonato,180,BS,Lonato del Garda,"c(10.4807720435713, 45.4637531362103)",A,Aree rurali,17,17092,UB,10.480772043571283,45.463753136210265
573,Colico,229,LC,Colico,"c(9.38468724765179, 46.1381409051264)",C,Aree rurali (significative),97,97023,SB,9.384687247651794,46.1381409051264
561,Como - viale Cattaneo,202,CO,Como,"c(9.06697137484454, 45.8150428601129)",Agg_MI,Aree urbane (significative),13,13075,UT,9.06697137484454,45.81504286011291
546,Magenta,137,MI,Magenta,"c(8.88021043312557, 45.4624157911066)",A,Aree urbane,15,15130,UB,8.880210433125571,45.462415791106615
514,Rho - via Statuto,152,MI,Rho,"c(9.04459987111101, 45.5234256620035)",Agg_MI,Aree urbane (significative),15,15182,UB,9.044599871111005,45.523425662003476
565,Cantù - via Meucci,369,CO,Cantù,"c(9.12573432702293, 45.7308367226743)",Agg_MI,Aree urbane (significative),13,13041,SB,9.125734327022926,45.73083672267427
670,Mantova - S.Agnese,22,MN,Mantova,"c(10.7955641137079, 45.1605683301058)",A,Aree urbane in contesti rurali,20,20030,UB,10.79556411370788,45.16056833010576
664,Mantova - p.zza Gramsci,18,MN,Mantova,"c(10.7814077000957, 45.1517433795766)",A,Aree urbane in contesti rurali,20,20030,UT,10.78140770009565,45.151743379576594
649,Brescia - Broletto,149,BS,Brescia,"c(10.2228184492742, 45.5400578469714)",Agg_BS,Aree urbane (significative),17,17029,UT,10.222818449274216,45.540057846971386
548,Milano - via Senato,118,MI,Milano,"c(9.19746036011253, 45.470499014097)",Agg_MI,Aree urbane (significative),15,15146,UT,9.197460360112531,45.470499014097
665,Viadana,37,MN,Viadana,"c(10.5175020671178, 44.9246940495507)",B,Aree rurali,20,20066,UB,10.517502067117825,44.92469404955067
654,Sarezzo - via Minelli,269,BS,Sarezzo,"c(10.205090218837, 45.6496267122407)",Agg_BS,Aree rurali (significative),17,17174,UB,10.205090218837002,45.64962671224069
673,Voghera - via Pozzoni,90,PV,Voghera,"c(9.00843738181569, 44.9995459891403)",B,Aree rurali (significative),18,18182,UB,9.008437381815693,44.99954598914026
564,Erba - via Battisti,279,CO,Erba,"c(9.22177920448843, 45.808573806923)",A,Aree urbane,13,13095,UB,9.221779204488435,45.808573806922965
695,Ponti sul Mincio,113,MN,Ponti sul Mincio,"c(10.6833573437868, 45.4127716916863)",B,Aree rurali,20,20044,SB,10.683357343786835,45.41277169168634
703,Schivenoglia,NA,MN,Schivenoglia,"c(11.0760946326405, 45.0168778207554)",B,Aree rurali,20,20060,RB,11.07609463264049,45.016877820755425
545,Motta Visconti (aria),100,MI,Motta Visconti,"c(8.98856272679325, 45.2819561974278)",B,Aree urbane in contesti rurali,15,15151,SB,8.988562726793255,45.281956197427846
659,Odolo,349,BS,Odolo,"c(10.389295302792, 45.6460496337252)",C,Aree urbane in contesti rurali (significative),17,17121,SB,10.38929530279196,45.64604963372525
690,Casoni - AGIP,73,PV,Mezzana Bigli,"c(8.86888929943922, 45.0696586413859)",B,Aree rurali,18,18090,RB,8.86888929943922,45.069658641385914
687,Ferno,215,VA,Ferno,"c(8.75697044545343, 45.6192437799476)",A,Aree urbane,12,12068,UB,8.756970445453431,45.61924377994763
1264,Sondrio - via Paribelli,290,SO,Sondrio,"c(9.8792099244699, 46.1678524406651)",D,Aree urbane in contesti rurali (significative),14,14061,UB,9.879209924469903,46.167852440665115
674,Monza - via Machiavelli,162,MB,Monza,"c(9.27357309271327, 45.5802634844224)",Agg_MI,Aree urbane (significative),108,108033,UB,9.273573092713274,45.58026348442243
596,Osio Sotto,182,BG,Osio Sotto,"c(9.61173782181237, 45.6205556793956)",Agg_BG,Aree urbane (significative),16,16153,SB,9.611737821812373,45.62055567939559
656,Gambara,47,BS,Gambara,"c(10.2991194960641, 45.2495436247462)",B,Aree rurali,17,17073,RB,10.299119496064078,45.24954362474624
607,Abbadia Cerreto,64,LO,Abbadia Cerreto,"c(9.58579041612041, 45.3095022692823)",B,Aree rurali,98,98001,RB,9.585790416120414,45.309502269282255
595,Filago - via Don Milani,190,BG,Filago,"c(9.55608425579086, 45.6338645090807)",Agg_BG,Aree urbane (significative),16,16098,SI,9.556084255790864,45.63386450908066
661,Rezzato,147,BS,Rezzato,"c(10.3362404229965, 45.5157082948446)",Agg_BS,Aree urbane,17,17161,SI,10.336240422996532,45.51570829484459
681,Moggio,1194,LC,Moggio,"c(9.49753816765342, 45.9127875203029)",C,Aree rurali (significative),97,97050,RB,9.497538167653424,45.91278752030292
576,Merate,279,LC,Merate,"c(9.4061909386866, 45.6979519897024)",Agg_MI,Aree urbane (significative),97,97048,UT,9.406190938686596,45.69795198970243
642,Pavia - via Folperti,77,PV,Pavia,"c(9.16463830063009, 45.1946760990779)",A,Aree urbane in contesti rurali (significative),18,18110,UB,9.164638300630086,45.19467609907785
652,Brescia - via Turati,154,BS,Brescia,"c(10.2317859074772, 45.539529434956)",Agg_BS,Aree urbane (significative),17,17029,UT,10.231785907477223,45.539529434955995
504,Sesto S.Giovanni,139,MI,Sesto San Giovanni,"c(9.23610792341164, 45.5347657650922)",Agg_MI,Aree urbane (significative),15,15209,UT,9.236107923411636,45.53476576509224
609,Casirate d`Adda,108,BG,Casirate d'Adda,"c(9.55623226235176, 45.4982271339449)",A,Aree rurali in contesti urbani,16,16059,RB,9.556232262351761,45.49822713394494
643,Pavia - p.zza Minerva,77,PV,Pavia,"c(9.14666604128678, 45.1863290804948)",A,Aree urbane in contesti rurali (significative),18,18110,UT,9.146666041286784,45.18632908049483
551,Arconate (aria),182,MI,Arconate,"c(8.84732192921626, 45.5485173574195)",A,Aree urbane,15,15007,SB,8.847321929216262,45.54851735741946
574,Lecco - Via Amendola,214,LC,Lecco,"c(9.39557706689322, 45.8501911945785)",A,Aree urbane in contesti rurali,97,97042,UT,9.395577066893223,45.850191194578535
606,S.Giuliano Milanese,97,MI,San Giuliano Milanese,"c(9.28270007555784, 45.3961946255272)",A,Aree urbane (significative),15,15195,UT,9.282700075557845,45.39619462552717
682,Ferrera Erbognone - ENI,88,PV,Ferrera Erbognone,"c(8.87406484888261, 45.1135031448296)",B,Aree rurali (significative),18,18062,RI,8.874064848882607,45.11350314482957
1274,Perledo,212,LC,Perledo,"c(9.28640920868081, 46.0158283043838)",C,Aree rurali (significative),97,97067,RB,9.286409208680807,46.01582830438376
663,Mantova - via Ariosto,18,MN,Mantova,"c(10.8033259500793, 45.145260125789)",A,Aree urbane in contesti rurali,20,20030,UI,10.80332595007927,45.14526012578896
629,Crema - via XI febbraio,79,CR,Crema,"c(9.70394551361317, 45.3663090781943)",B,Aree urbane in contesti rurali,19,19035,SB,9.703945513613167,45.366309078194334
598,S.Rocco al Porto,50,LO,San Rocco al Porto,"c(9.70078817718398, 45.0819866969786)",B,Aree rurali,98,98049,SB,9.70078817718398,45.081986696978625
679,Valmadrera,247,LC,Valmadrera,"c(9.35165816612796, 45.8422072610225)",A,Aree urbane in contesti rurali,97,97083,SB,9.351658166127958,45.842207261022544
697,Borgofranco - loc. Bonizzo,14,MN,Borgofranco sul Po,"c(11.1809358191275, 45.0465015381673)",B,Aree rurali,20,20006,SB,11.18093581912755,45.04650153816735
531,Limito,114,MI,Pioltello,"c(9.32736003321514, 45.4836303532325)",Agg_MI,Aree urbane (significative),15,15175,UB,9.327360033215145,45.48363035323249
627,Cremona - p.zza Cadorna,39,CR,Cremona,"c(10.015741513336, 45.1319469128517)",A,Aree urbane in contesti rurali (significative),19,19036,UT,10.015741513336042,45.13194691285173
572,Morbegno - via Cortivacci,262,SO,Morbegno,"c(9.56617989398447, 46.1322829600037)",D,Aree urbane in contesti rurali (significative),14,14045,UB,9.566179893984474,46.132282960003735
560,Varese - via Copelli,383,VA,Varese,"c(8.82024070715821, 45.8169732332637)",A,Aree urbane (significative),12,12133,UT,8.820240707158211,45.816973233263674
529,Cinisello Balsamo,149,MI,Cinisello Balsamo,"c(9.22776423327263, 45.5523257874121)",Agg_MI,Aree urbane (significative),15,15077,UT,9.227764233272634,45.55232578741208
1266,Bertonico,65,LO,Bertonico,"c(9.66625037529603, 45.2334936413037)",B,Aree rurali (significative),98,98002,RB,9.666250375296032,45.23349364130374
709,Vigevano - via Valletta,109,PV,Vigevano,"c(8.84480460996544, 45.3036078696557)",A,Aree urbane in contesti rurali (significative),18,18177,UB,8.844804609965438,45.303607869655714
708,Parona,112,PV,Parona,"c(8.75433459453983, 45.2819356103579)",B,Aree urbane in contesti rurali,18,18109,UI,8.754334594539825,45.281935610357905
588,Tavernola Bergamasca,191,BG,Tavernola Bergamasca,"c(10.0447659993684, 45.7162999241173)",C,Aree rurali (significative),16,16211,SI,10.044765999368437,45.71629992411727
612,Filago - via Fermi,176,BG,Filago,"c(9.55650435031822, 45.6244564811923)",Agg_BG,Aree urbane (significative),16,16098,UB,9.556504350318216,45.6244564811923
696,Monzambano - campo sportivo,88,MN,Monzambano,"c(10.6905762650721, 45.3891535402378)",B,Aree rurali,20,20036,SB,10.690576265072083,45.38915354023782
